"","wk","cr","cr_other","trend","lcr","lcro","post","wk_num"
"1",2014-01-05,23,1240,1,3.13549421592915,7.12286665859908,0,"1"
"2",2014-01-12,27,865,2,3.29583686600433,6.76272950693188,0,"2"
"3",2014-01-19,32,787,3,3.46573590279973,6.6682282484174,0,"3"
"4",2014-01-26,24,994,4,3.17805383034795,6.90173720665657,0,"4"
"5",2014-02-02,39,1012,5,3.66356164612965,6.91968384984741,0,"5"
"6",2014-02-09,30,808,6,3.40119738166216,6.69456205852109,0,"6"
"7",2014-02-16,45,695,7,3.80666248977032,6.54391184556479,0,"7"
"8",2014-02-23,36,872,8,3.58351893845611,6.77078942390898,0,"8"
"9",2014-03-02,44,838,9,3.78418963391826,6.73101810048208,0,"9"
"10",2014-03-09,33,828,10,3.49650756146648,6.71901315438526,0,"10"
"11",2014-03-16,25,789,11,3.2188758248682,6.67076632084587,0,"11"
"12",2014-03-23,40,907,12,3.68887945411394,6.81014245011514,0,"12"
"13",2014-03-30,23,925,13,3.13549421592915,6.82979373751242,0,"13"
"14",2014-04-06,34,871,14,3.52636052461616,6.7696419768525,0,"14"
"15",2014-04-13,46,894,15,3.8286413964891,6.79570577517351,0,"15"
"16",2014-04-20,28,918,16,3.3322045101752,6.82219739062049,0,"16"
"17",2014-04-27,39,974,17,3.66356164612965,6.88141130364254,0,"17"
"18",2014-05-04,40,1008,18,3.68887945411394,6.91572344863131,0,"18"
"19",2014-05-11,43,854,19,3.76120011569356,6.74993119378857,0,"19"
"20",2014-05-18,46,900,20,3.8286413964891,6.80239476332431,0,"20"
"21",2014-05-25,26,923,21,3.25809653802148,6.82762923450285,0,"21"
"22",2014-06-01,43,901,22,3.76120011569356,6.80350525760834,0,"22"
"23",2014-06-08,40,894,23,3.68887945411394,6.79570577517351,0,"23"
"24",2014-06-15,26,878,24,3.25809653802148,6.77764659363512,0,"24"
"25",2014-06-22,49,881,25,3.89182029811063,6.78105762593618,0,"25"
"26",2014-06-29,39,971,26,3.66356164612965,6.87832646829133,0,"26"
"27",2014-07-06,35,932,27,3.55534806148941,6.83733281468559,0,"27"
"28",2014-07-13,38,931,28,3.63758615972639,6.83625927727707,0,"28"
"29",2014-07-20,44,850,29,3.78418963391826,6.74523634948436,0,"29"
"30",2014-07-27,38,946,30,3.63758615972639,6.85224256905188,0,"30"
"31",2014-08-03,42,928,31,3.73766961828337,6.8330317327862,0,"31"
"32",2014-08-10,48,921,32,3.87120101090789,6.82546003625531,0,"32"
"33",2014-08-17,51,966,33,3.93182563272433,6.87316383421252,0,"33"
"34",2014-08-24,46,939,34,3.8286413964891,6.84481547920826,0,"34"
"35",2014-08-31,31,914,35,3.43398720448515,6.81783057145415,0,"35"
"36",2014-09-07,34,1013,36,3.52636052461616,6.92067150424868,0,"36"
"37",2014-09-14,39,1039,37,3.66356164612965,6.94601399109923,0,"37"
"38",2014-09-21,35,1102,38,3.55534806148941,7.00488198971286,0,"38"
"39",2014-09-28,52,1043,39,3.95124371858143,6.94985645500077,0,"39"
"40",2014-10-05,31,1019,40,3.43398720448515,6.92657703322272,0,"40"
"41",2014-10-12,37,902,41,3.61091791264422,6.80461452006262,0,"41"
"42",2014-10-19,33,1019,42,3.49650756146648,6.92657703322272,0,"42"
"43",2014-10-26,44,1009,43,3.78418963391826,6.91671502035361,0,"43"
"44",2014-11-02,46,1024,44,3.8286413964891,6.93147180559945,0,"44"
"45",2014-11-09,35,1232,45,3.55534806148941,7.11639414409346,0,"45"
"46",2014-11-16,36,1209,46,3.58351893845611,7.09754885061479,0,"46"
"47",2014-11-23,34,882,47,3.52636052461616,6.78219205600679,0,"47"
"48",2014-11-30,34,1072,48,3.52636052461616,6.97728134163075,0,"48"
"49",2014-12-07,39,1090,49,3.66356164612965,6.99393297522319,0,"49"
"50",2014-12-14,33,1097,50,3.49650756146648,7.00033446027523,0,"50"
"51",2014-12-21,34,1220,51,3.52636052461616,7.1066061377273,0,"51"
"52",2014-12-28,47,1230,52,3.85014760171006,7.11476944836646,0,"52"
"53",2015-01-04,39,950,53,3.66356164612965,6.85646198459459,0,"1"
"54",2015-01-11,40,1049,54,3.68887945411394,6.9555926083963,0,"2"
"55",2015-01-18,33,781,55,3.49650756146648,6.66057514983969,0,"3"
"56",2015-01-25,44,862,56,3.78418963391826,6.75925527066369,0,"4"
"57",2015-02-01,33,803,57,3.49650756146648,6.68835471394676,0,"5"
"58",2015-02-08,48,938,58,3.87120101090789,6.84374994900622,0,"6"
"59",2015-02-15,43,887,59,3.76120011569356,6.78784498230958,0,"7"
"60",2015-02-22,27,975,60,3.29583686600433,6.88243747099785,0,"8"
"61",2015-03-01,50,1299,61,3.91202300542815,7.1693500166706,0,"9"
"62",2015-03-08,37,913,62,3.61091791264422,6.81673588059497,0,"10"
"63",2015-03-15,59,918,63,4.07753744390572,6.82219739062049,0,"11"
"64",2015-03-22,31,983,64,3.43398720448515,6.89060912014717,0,"12"
"65",2015-03-29,41,860,65,3.71357206670431,6.75693238924755,0,"13"
"66",2015-04-05,36,908,66,3.58351893845611,6.81124437860129,0,"14"
"67",2015-04-12,37,1174,67,3.61091791264422,7.06817200038804,0,"15"
"68",2015-04-19,37,937,68,3.61091791264422,6.84268328223842,0,"16"
"69",2015-04-26,44,1028,69,3.78418963391826,6.93537044601511,0,"17"
"70",2015-05-03,51,1086,70,3.93182563272433,6.99025650049388,0,"18"
"71",2015-05-10,28,1028,71,3.3322045101752,6.93537044601511,0,"19"
"72",2015-05-17,38,1042,72,3.63758615972639,6.94889722231331,0,"20"
"73",2015-05-24,41,980,73,3.71357206670431,6.88755257166462,0,"21"
"74",2015-05-31,40,1058,74,3.68887945411394,6.96413561241824,0,"22"
"75",2015-06-07,40,999,75,3.68887945411394,6.90675477864855,0,"23"
"76",2015-06-14,44,1065,76,3.78418963391826,6.97073007814353,0,"24"
